"speech","word","n","total","tf","idf","tf_idf"
"SOTU_15","the",262,6828,0.0383714118336262,0,0
"SOTU_15","and",254,6828,0.0371997656707674,0,0
"SOTU_15","to",244,6828,0.0357352079671939,0,0
"Selma","the",197,3690,0.0533875338753388,0,0
"SOTU_15","we",157,6828,0.0229935559461043,0,0
"SOTU_15","a",156,6828,0.0228471001757469,0,0
"Selma","and",155,3690,0.0420054200542005,0,0
"SOTU_15","of",153,6828,0.0224077328646749,0,0
"SOTU_15","that",125,6828,0.018306971294669,0,0
"Selma","of",120,3690,0.032520325203252,0,0
"SOTU_15","our",116,6828,0.0169888693614528,0,0
"Selma","to",112,3690,0.0303523035230352,0,0
"SOTU_15","in",109,6828,0.0159636789689514,0,0
"Selma","we",89,3690,0.0241192411924119,0,0
"Selma","that",67,3690,0.0181571815718157,0,0
"SOTU_15","for",63,6828,0.00922671353251318,0,0
"SOTU_15","i",63,6828,0.00922671353251318,0,0
"SOTU_15","this",62,6828,0.00908025776215583,0,0
"Selma","in",61,3690,0.0165311653116531,0,0
"Selma","a",55,3690,0.0149051490514905,0,0
"SOTU_15","are",51,6828,0.00746924428822496,0,0
"SOTU_15","is",51,6828,0.00746924428822496,0,0
"SOTU_15","have",50,6828,0.0073227885178676,0,0
"SOTU_15","it",50,6828,0.0073227885178676,0,0
"Selma","our",48,3690,0.0130081300813008,0,0
"SOTU_15","as",45,6828,0.00659050966608084,0,0
"Selma","is",44,3690,0.0119241192411924,0,0
"SOTU_15","more",43,6828,0.00629759812536614,0,0
"SOTU_15","new",41,6828,0.00600468658465144,0,0
"SOTU_15","with",41,6828,0.00600468658465144,0,0
"SOTU_15","on",38,6828,0.00556531927357938,0,0
"Selma","not",37,3690,0.0100271002710027,0,0
"Selma","this",36,3690,0.00975609756097561,0,0
"Selma","who",36,3690,0.00975609756097561,0,0
"SOTU_15","america",35,6828,0.00512595196250732,0,0
"SOTU_15","will",35,6828,0.00512595196250732,0,0
"Selma","for",34,3690,0.00921409214092141,0,0
"Selma","are",32,3690,0.00867208672086721,0,0
"SOTU_15","at",31,6828,0.00454012888107791,0,0
"Selma","what",30,3690,0.00813008130081301,0,0
"SOTU_15","but",30,6828,0.00439367311072056,0,0
"SOTU_15","that's",30,6828,0.00439367311072056,0,0
"Selma","they",29,3690,0.00785907859078591,0,0
"SOTU_15","us",29,6828,0.00424721734036321,0,0
"Selma","america",28,3690,0.00758807588075881,0,0
"SOTU_15","than",28,6828,0.00410076157000586,0,0
"SOTU_15","you",28,6828,0.00410076157000586,0,0
"SOTU_15","from",27,6828,0.00395430579964851,0,0
"SOTU_15","so",27,6828,0.00395430579964851,0,0
"Selma","it",26,3690,0.00704607046070461,0,0
"SOTU_15","years",25,6828,0.0036613942589338,0,0
"SOTU_15","can",24,6828,0.00351493848857645,0,0
"SOTU_15","do",24,6828,0.00351493848857645,0,0
"SOTU_15","every",24,6828,0.00351493848857645,0,0
"SOTU_15","their",24,6828,0.00351493848857645,0,0
"SOTU_15","who",24,6828,0.00351493848857645,0,0
"SOTU_15","it's",23,6828,0.0033684827182191,0,0
"SOTU_15","make",23,6828,0.0033684827182191,0,0
"SOTU_15","need",22,6828,0.00322202694786175,0,0
"SOTU_15","or",22,6828,0.00322202694786175,0,0
"SOTU_15","people",22,6828,0.00322202694786175,0,0
"SOTU_15","up",22,6828,0.00322202694786175,0,0
"Selma","their",21,3690,0.00569105691056911,0,0
"SOTU_15","not",21,6828,0.00307557117750439,0,0
"SOTU_15","they",21,6828,0.00307557117750439,0,0
"SOTU_15","time",21,6828,0.00307557117750439,0,0
"SOTU_15","want",21,6828,0.00307557117750439,0,0
